isbn13,source,issue_type,details,action_taken
9780395312612,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781555035310,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875792071,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780373241903,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780877476146,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573459174,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780679408215,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780060156336,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780664257439,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780226323985,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780449237823,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780830723331,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780821764480,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781569551554,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780860919933,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875799179,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780813524924,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782070404056,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780345336552,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780517548295,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780064473002,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875798332,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780788706868,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782020114264,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780345350510,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782845920965,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781570084386,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780553479348,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780345334695,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875799681,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782226059642,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781561007387,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780590485333,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875799117,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781931081801,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782724207590,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780515081503,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780812695458,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573450904,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573455442,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781575211565,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782226086945,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780312925116,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781555039233,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780201576535,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573453592,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782877305754,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780307023773,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875799384,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9783895086878,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781570082276,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780843931624,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780345302588,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781570082870,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780312483715,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780441000708,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780380614165,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780875795560,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782070365449,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780830640355,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573451925,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780345298683,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782253154815,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780515092127,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781570082368,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573450201,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780821746493,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782842612894,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780664252458,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780842347082,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782742738205,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780449136010,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780882073033,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780694517626,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780812513486,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782080703002,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780061001796,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780882701646,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782010172151,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780671814458,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780028637044,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9788475778044,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782080710642,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781570087677,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782070366866,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781890558574,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9780445209046,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781562362140,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9782266072878,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
9781573450454,Input,ISBN Normalized,ISBN-13 validated,Stored ISBN-13 skeleton in master + source JSON files
